id_liturgia,riferimento,id_canti,vector_similarity
C12-A,liturgia,2578,0.7906559519278493
C12-A,prima_lettura,2895,0.840028125550283
C12-A,prima_lettura,2087,0.8349068530680394
C12-A,prima_lettura,2322,0.8200984889223686
C12-A,prima_lettura,2203,0.8119126266980268
C12-A,prima_lettura,2318,0.8082967888586454
C12-A,prima_lettura,2646,0.8058650445409475
C12-A,prima_lettura,2091,0.8044464957332108
C12-A,prima_lettura,1740,0.80408961925941
C12-A,prima_lettura,1857,0.8019989992803226
C12-A,prima_lettura,2235,0.8019714778410486
C12-A,salmo,2596,0.5620830203626327
C12-A,salmo,2063,0.50713999776608
